Isolate,Lineage,Contig,methylation,methylation_percent
Gd4986,2,contig_8,h,"8,1"
Gd4986,2,contig_8,m,"21,8"
Gd4986,2,contig_809,h,"7,7"
Gd4986,2,contig_809,m,"23,7"
Gd4986,2,contig_811,h,"7,4"
Gd4986,2,contig_811,m,"11,4"
Gd4986,2,contig_827,h,"8,1"
Gd4986,2,contig_827,m,"13,9"
Gd4986,2,contig_834,h,"7,5"
Gd4986,2,contig_834,m,8
Gd4986,2,contig_854,h,"7,3"
Gd4986,2,contig_854,m,"14,6"
Gd4986,2,contig_877,h,"8,2"
Gd4986,2,contig_877,m,"19,8"
Gd4986,2,contig_899,h,"7,8"
Gd4986,2,contig_899,m,"16,2"
Gd4986,2,contig_900,h,"9,4"
Gd4986,2,contig_900,m,"39,4"
Gd4986,2,contig_914,h,"7,9"
Gd4986,2,contig_914,m,37
Gd4986,2,contig_927,h,"8,1"
Gd4986,2,contig_927,m,"22,3"
Gd4986,2,contig_948,h,"8,1"
Gd4986,2,contig_948,m,"18,9"
Gd4986,2,contig_963,h,8
Gd4986,2,contig_963,m,"21,6"
Gd4986,2,contig_969,h,"8,9"
Gd4986,2,contig_969,m,"25,2"
Gd4986,2,contig_975,h,"8,4"
Gd4986,2,contig_975,m,"15,6"
Gd4986,2,contig_978,h,"8,1"
Gd4986,2,contig_978,m,17
Gd4986,2,contig_991,h,"8,4"
Gd4986,2,contig_991,m,"32,8"
Gd614,2,contig_1009,h,"8,3"
Gd614,2,contig_1009,m,"54,3"
Gd614,2,contig_1017,h,8
Gd614,2,contig_1017,m,"26,7"
Gd614,2,contig_1050,h,"7,9"
Gd614,2,contig_1050,m,"20,2"
Gd614,2,contig_1075,h,"7,3"
Gd614,2,contig_1075,m,"13,1"
Gd614,2,contig_1078,h,"8,9"
Gd614,2,contig_1078,m,"34,6"
Gd614,2,contig_1195,h,"7,9"
Gd614,2,contig_1195,m,"22,5"
Gd614,2,contig_1218,h,"10,3"
Gd614,2,contig_1218,m,"53,5"
Gd614,2,contig_1247,h,"8,1"
Gd614,2,contig_1247,m,"20,6"
Gd614,2,contig_1261,h,"7,6"
Gd614,2,contig_1261,m,"22,4"
Gd614,2,contig_1299,h,"8,2"
Gd614,2,contig_1299,m,"26,2"
Gd614,2,contig_189,h,"7,8"
Gd614,2,contig_189,m,19
Gd614,2,contig_211,h,"8,2"
Gd614,2,contig_211,m,"28,5"
Gd614,2,contig_214,h,"8,1"
Gd614,2,contig_214,m,"26,1"
Gd614,2,contig_309,h,"7,7"
Gd614,2,contig_309,m,"17,4"
Gd614,2,contig_368,h,"7,9"
Gd614,2,contig_368,m,"22,4"
Gd614,2,contig_487,h,"8,2"
Gd614,2,contig_487,m,"23,8"
Gd614,2,contig_566,h,"8,1"
Gd614,2,contig_566,m,"24,2"
Gd614,2,contig_590,h,8
Gd614,2,contig_590,m,"24,5"
Gd614,2,contig_598,h,"7,6"
Gd614,2,contig_598,m,"21,4"
Gd614,2,contig_652,h,"7,8"
Gd614,2,contig_652,m,"23,2"
Gd614,2,contig_700,h,"8,9"
Gd614,2,contig_700,m,"43,1"
Gd614,2,contig_785,h,8
Gd614,2,contig_785,m,"23,6"
Gd614,2,contig_8,h,"7,8"
Gd614,2,contig_8,m,"21,7"
Gd614,2,contig_850,h,8
Gd614,2,contig_850,m,"22,8"
Gd614,2,contig_884,h,"7,6"
Gd614,2,contig_884,m,19
Gd614,2,contig_905,h,"7,7"
Gd614,2,contig_905,m,"20,7"
Gd614,2,contig_967,h,"8,1"
Gd614,2,contig_967,m,"26,6"
Gd708,2,contig_1074,h,"5,6"
Gd708,2,contig_1074,m,26
Gd708,2,contig_1124,h,"5,7"
Gd708,2,contig_1124,m,"27,6"
Gd708,2,contig_1141,h,"5,7"
Gd708,2,contig_1141,m,"13,6"
Gd708,2,contig_1149,h,"5,7"
Gd708,2,contig_1149,m,"21,5"
Gd708,2,contig_1164,h,"5,4"
Gd708,2,contig_1164,m,"11,1"
Gd708,2,contig_1170,h,"6,7"
Gd708,2,contig_1170,m,"37,9"
Gd708,2,contig_1179,h,"5,3"
Gd708,2,contig_1179,m,"11,2"
Gd708,2,contig_1181,h,"5,5"
Gd708,2,contig_1181,m,"31,2"
Gd708,2,contig_1194,h,"5,6"
Gd708,2,contig_1194,m,"36,5"
Gd708,2,contig_1224,h,"5,1"
Gd708,2,contig_1224,m,"20,6"
Gd708,2,contig_1237,h,"5,7"
Gd708,2,contig_1237,m,"25,9"
